Day,Campaign name,Ad Set Name,Ad name,Amount spent (USD),Impressions,Link clicks,Family Form Submission
2025-02-05,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,10.19,246,4,
2025-02-05,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,2.02,38,3,
2025-02-05,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,15.14,335,3,
2025-02-05,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,5.22,635,2,
2025-02-04,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,6.44,349,,
2025-02-04,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,7.26,216,1,
2025-02-04,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,1.76,49,,
2025-02-04,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,6.67,134,1,
2025-02-04,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,0.36,16,,
2025-02-04,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,7.55,198,4,
2025-02-03,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,20.23,324,3,
